Transcription-Units	Promoter	Absolute-Plus-1-Position	Binds-Sigma-Factor	Genes	Gene left	Gene right	Transcription-Direction	Names
ygaY		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygaY	2808316	2809493	+	ygaY
eco		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		eco	2303905	2304393	+	eco
ydfV		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydfV	1645897	1646202	+	ydfV
cof		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cof	467412	468230	+	cof
tyrS-pdxY	tyrSp2	1717283		pdxY // tyrS	1715026 // 1715948	1715889 // 1717222	-	tyrS-pdxY
ygcRQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygcR // ygcQ	2895776 // 2894919	2896555 // 2895779	-	ygcRQ
hokA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		hokA	3720448	3720600	-	hokA
mdtUJI	mdtJp	1673779		mdtU // mdtJ // mdtI	1673608 // 1673136 // 1672820	1673709 // 1673501 // 1673149	-	mdtUJI // mdtJI
fsr		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		fsr	503476	504696	-	fsr
rhoL	rhoLp	3966162		rhoL	3966231	3966332	+	rhoL
yfgM	yfgMp2	2639402		yfgM	2638663	2639283	-	yfgM
yjeM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjeM	4383839	4385341	+	yjeM
rfbBDACX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rfbX // rfbC // rfbA // rfbD // rfbB	2108337 // 2109581 // 2110138 // 2111077 // 2111976	2109584 // 2110138 // 2111019 // 2111976 // 2113061	-	rfbBDACX
rppH-ptsP	rppHp	2968993		rppH // ptsP	2968447 // 2966188	2968977 // 2968434	-	rppH-ptsP
mdoC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		opgC	1107784	1108941	-	mdoC
ydhC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		punC	1739911	1741122	+	ydhC
ldtB	ldtBp	855786		ldtB	854824	855744	-	ldtB // ybiS
insE3EF3F3		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insF3 // insE3 // insEF3	567138 // 566842	568004 // 567141	+	insE3EF3F3
ghoST	ghoSp	4352549		ghoT // ghoS	4352908 // 4352584	4353081 // 4352880	+	ghoST
alr	alrp2	4265652		alr	4265782	4266861	+	alr
ytfL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		paeA	4439872	4441215	-	ytfL
ygeI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygeI	2993638	2993856	+	ygeI
kptA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		kptA	4560930	4561484	+	kptA
ydiE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydiE	1789613	1789804	+	ydiE
insL2		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insL2	608065	609177	+	insL2
thrS-infC	thrSp	1802733		infC // thrS	1800096 // 1800642	1800638 // 1802570	-	thrS-infC
yjjB-dnaTC	yjjBp	4602177		dnaC // dnaT // yjjB	4600238 // 4600978 // 4601624	4600975 // 4601517 // 4602097	-	yjjB-dnaTC
ydjF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydjF	1854096	1854854	-	ydjF
lpp	lppp2	1757296		lpp	1757421	1757657	+	lpp
lipB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lipB	661637	662278	-	lipB
secMA-mutT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mutT // secA // secM	111044 // 108279 // 107705	111433 // 110984 // 108217	+	secMA-mutT
gadW	gadWp1	3664651		gadW	3663890	3664618	-	gadW
hypT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		hypT	4557378	4558289	-	hypT
pflB	pflBp4	953851		pflB	951272	953554	-	pflB
dmlA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		dmlA	1881912	1882997	+	dmlA
erpA	erpAp	176561		erpA	176610	176954	+	erpA
ybfP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybfP	715412	715906	+	ybfP
gntR	gntRp3	3578862		gntR	3577731	3578726	-	gntR
tsaE-amiB-mutL-miaA-hfq-hflXKC	tsaEp			hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE	4403300 // 4402038 // 4400672 // 4400288 // 4399252 // 4397412 // 4396065 // 4395585	4404304 // 4403297 // 4401952 // 4400596 // 4400202 // 4399259 // 4397402 // 4396046	+	tsaE-amiB-mutL-miaA-hfq-hflXKC // yjeE-amiB-mutL-miaA-hfq-hflXKC
rsmC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rsmC	4606669	4607700	-	rsmC
yghSR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yghS // yghR	3133244 // 3132454	3133957 // 3133212	-	yghSR
msrC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		msrC	1915631	1916128	-	msrC
rdlB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rdlB	1269858	1269923	+	rdlB
modEF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		modE // modF	793856 // 792316	794644 // 793788	-	modEF
crr	crrpI	2535610		crr	2535834	2536343	+	crr
bax		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		bax	3736353	3737177	-	bax
clpPX	clpPp2	456646		clpP // clpX	456677 // 457426	457300 // 458700	+	clpPX
ygiN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygiN	3173142	3173456	+	ygiN
yecT	yecTp	1961935		yecT	1961972	1962460	+	yecT
arcZ	arcZp	3350577		arcZ	3350577	3350697	+	arcZ // ryhA
ybiU		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybiU	857796	859061	-	ybiU
pgk-fbaA	pgkp2	3072648		fbaA // pgk	3070165 // 3071459	3071244 // 3072622	-	pgk-fbaA
yedI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yedI	2028449	2029366	-	yedI
uspC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		uspC	1979753	1980181	+	uspC
lysO	lysOp	914895		lysO	913958	914857	-	lysO
smg		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		smg	3431991	3432464	-	smg
endA	endAp2	3090275		endA	3090347	3091054	+	endA
yhaBC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhaC // yhaB	3268415 // 3267854	3269602 // 3268393	+	yhaBC
insC3D3CD3		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insC3 // insD3 // insCD3	2069815 // 2068952	2070180 // 2069857	-	insC3D3CD3
yaiY		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yaiY	399025	399333	-	yaiY
asnS	asnSp	989044		asnS	987585	988985	-	asnS
macAB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		macB // macA	920347 // 919235	922293 // 920350	+	macAB
murA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		murA	3335235	3336494	-	murA
ybiA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybiA	832468	832950	-	ybiA
insA4AB4B4		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insB4 // insA4 // insAB4	1050027 // 1049833	1050530 // 1050108	+	insA4AB4B4
yecR	yecRp	1988200		yecR	1988222	1988545	+	yecR
glf-rfc		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		wbbH // glf	2106060 // 2107226	2107226 // 2108329	-	glf-rfc
yhdP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhdP	3392458	3396258	-	yhdP
yegX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yegX	2182833	2183651	-	yegX
yhhS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhhS	3610516	3611733	-	yhhS
mdtG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mdtG	1114264	1115490	-	mdtG
sraB	psrDp	1146589		sraB	1146589	1146757	+	sraB
yieG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		adeP	3895272	3896609	-	yieG
nagK-cobB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cobB // nagK	1179520 // 1178593	1180359 // 1179504	+	nagK-cobB
rimL	rimLp	1498743		rimL	1498938	1499477	+	rimL
ydhM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		nemR	1726023	1726622	+	ydhM
yhhX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhhX	3579768	3580805	-	yhhX
psuKG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		psuK // psuG	2258355 // 2257429	2259296 // 2258367	-	psuKG
yjgM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjgM	4479034	4479537	-	yjgM
trpt		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		trpT	3946957	3947032	+	trpt
exuT	exuTp2	3245002		exuT	3245224	3246522	+	exuT // OP00201
atoSC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		atoC // atoS	2321866 // 2320043	2323251 // 2321869	+	atoSC
ynaI	ynaIp	1395973		ynaI	1394891	1395922	-	ynaI
cvrA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cvrA	1240335	1242071	-	cvrA
pepD	pepDp1	255809		pepD	254259	255716	-	pepD
sugE	sugEp	4376794		gdx	4376875	4377192	+	sugE
dgt	dgtp2	179214		dgt	179237	180754	+	dgt
eda	edap3	1932784		eda	1932115	1932756	-	eda
yhjV		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhjV	3700563	3701834	+	yhjV
yfbP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfbP	2389116	2389964	+	yfbP
yqeK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqeK	2989935	2990360	-	yqeK
yciVOQ	yciVp	1323188		yciQ // yciO // rnm	1324746 // 1324098 // 1323220	1326641 // 1324718 // 1324101	+	yciVOQ
ytjB-lplA	ytjBp	4624799		lplA // ytjB	4623101 // 4624145	4624117 // 4624789	-	ytjB-lplA // smp
kefFC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		kefC // kefF	47769 // 47246	49631 // 47776	+	kefFC
cbrBC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cbrC // cbrB	3898022 // 3897506	3898609 // 3897973	+	cbrBC // yieIJ
eno	enop3	2908846		eno	2906643	2907941	-	eno
yibG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yibG	3768177	3768638	+	yibG
yfcUSRQPO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfcU // yfcS // yfcR // yfcQ // yfcP // yfcO	2452356 // 2451584 // 2451072 // 2450587 // 2450051 // 2449228	2455001 // 2452336 // 2451584 // 2451075 // 2450590 // 2450049	-	yfcUSRQPO
ybjK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rcdA	887423	887959	+	ybjK
ycjXF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycjF // ycjX	1385511 // 1384117	1386572 // 1385514	+	ycjXF
ruvAB	ruvAp2	1946016		ruvB // ruvA	1944346 // 1945365	1945356 // 1945976	-	ruvAB
yadE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yadE	145081	146310	+	yadE
yicH	yicHp	3830431		yicH	3830457	3832166	+	yicH
tpke70		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tpke70	2496194	2496629	-	tpke70
pliG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		pliG	1227071	1227472	-	pliG // ycgK
ydaSTUVW-rzpR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rzpR // ydaW // ydaV // ydaU // ydaT // ydaS	1423345 // 1422752 // 1421983 // 1421119 // 1420684 // 1420365	1423644 // 1423312 // 1422729 // 1421976 // 1421106 // 1420661	+	ydaSTUVW-rzpR
yaeQ-arfB-nlpE	yaeQp	214280		nlpE // arfB // yaeQ	215269 // 214833 // 214291	215979 // 215255 // 214836	+	yaeQ-arfB-nlpE
feaR	feaRp	1447367		feaR	1446378	1447283	-	feaR // maoB
mnmE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mnmE	3886828	3888192	+	mnmE
intZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		intZ	2558858	2560066	+	intZ
ydeE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydeE	1621332	1622519	+	ydeE
rayT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rayT	247637	248134	+	rayT
yggDC	fumEp			yggC // fumE	3073976 // 3074686	3074689 // 3075195	-	yggDC
hda	hdap			hda	2618075	2618776	-	hda
yegE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		dgcE	2143266	2146583	+	yegE
yncK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yncK	1503218	1503649	-	yncK
yagEF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yagF // yagE	283201 // 282278	285168 // 283186	+	yagEF
phoPQ	phoPp2	1190508		phoQ // phoP	1188316 // 1189776	1189776 // 1190447	-	phoPQ
fre	frep1	4026443		fre	4026527	4027228	+	fre
yphCB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yphC // yphB	2674700 // 2673816	2675761 // 2674688	-	yphCB
yfgF	yfgFp	2629031		pdeF	2626695	2628938	-	yfgF
ydcC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydcC	1531816	1532952	+	ydcC
ykgA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ykgA	316450	317136	-	ykgA
rpsI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rpsI	3377815	3378207	-	rpsI
ykfGH-yafW-ykfI	ykfGp			ykfI // yafW // ykfH // ykfG	263328 // 263690 // 264026 // 264256	263669 // 264007 // 264247 // 264732	-	ykfGH-yafW-ykfI
yiiF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yiiF	4079751	4079969	+	yiiF
ypjD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ypjD	2747962	2748753	+	ypjD
ygiD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygiD	3181619	3182434	-	ygiD
ybjG	ybjGp	883508		ybjG	882792	883388	-	ybjG
yaiL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yaiL	376772	377311	+	yaiL
yijO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yijO	4147466	4148317	-	yijO
yfjXY-ypjJ-yfjZ-ypjF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ypjF // yfjZ // ypjJ // yfjY // yfjX	2777453 // 2777115 // 2776877 // 2776386 // 2775919	2777782 // 2777432 // 2777077 // 2776868 // 2776377	+	yfjXY-ypjJ-yfjZ-ypjF
bisC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		bisC	3714061	3716394	-	bisC
ydfZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydfZ	1629215	1629418	+	ydfZ
aspS	aspSp2	1950617		aspS	1948750	1950522	-	aspS
brnQ-proY	brnQp	419488		proY // brnQ	420986 // 419591	422359 // 420910	+	brnQ-proY
leuO	leuOp2	84304		leuO	84368	85312	+	leuO
ecpBCDE	ecpBp2	310076		ecpE // ecpD // ecpC // ecpB	304495 // 305174 // 306807 // 309358	305205 // 306817 // 309332 // 310026	-	ecpBCDE
rpe-gph-trpS	rpep	3515153		trpS // gph // rpe	3512634 // 3513631 // 3514382	3513638 // 3514389 // 3515059	-	rpe-gph-trpS
yjbJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjbJ	4259237	4259446	+	yjbJ
minCDE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		minE // minD // minC	1224279 // 1224549 // 1225385	1224545 // 1225361 // 1226080	-	minCDE
yqaBA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqaB // yqaA	2816937 // 2816512	2817503 // 2816940	-	yqaBA
fadE	fadEp	243406		fadE	240859	243303	-	fadE
ydfABC	ydfAp8	1648438		ydfC // ydfB // ydfA	1648823 // 1648665 // 1648508	1649041 // 1648793 // 1648663	+	ydfABC
metE	metEp	4012884		metE	4013053	4015314	+	metE
ffs		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ffs	476448	476561	+	ffs
yeaGH	yeaGp2	1866765		yeaH // yeaG	1868955 // 1866908	1870238 // 1868842	+	yeaGH
yjdM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjdM	4326399	4326734	-	yjdM
ygcW		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygcW	2899488	2900273	-	ygcW
ompW	ompWp	1313991		ompW	1314020	1314658	+	ompW
tus		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tus	1684259	1685188	+	tus
ackA-pta		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		pta // ackA	2414747 // 2413470	2416891 // 2414672	+	ackA-pta
fetAB	fetAp	515903		fetB // fetA	516583 // 515919	517362 // 516596	+	fetAB
rpoS	rpoSp2	2867607		rpoS	2866559	2867551	-	rpoS
orn		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		orn	4391604	4392149	+	orn
rph-pyrE	rphp	3816580		pyrE // rph	3815127 // 3815863	3815768 // 3816549	-	rph-pyrE
ygdR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygdR	2971271	2971489	+	ygdR
insA-7		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insA7	4518527	4518802	+	insA-7
ydhXUT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydhX // ydhU // ydhT	1750345 // 1749563 // 1748747	1751013 // 1750348 // 1749559	-	ydhXUT
barA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		barA	2915057	2917813	+	barA
ybcLM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybcM // ybcL	571454 // 570893	572251 // 571444	+	ybcLM
groL	groLp2	4370873		groL	4371025	4372671	+	groL
tldE	tldEp	4457945		tldE	4457959	4459311	+	tldE
ruvAB	ruvAp1	1946024		ruvB // ruvA	1944346 // 1945365	1945356 // 1945976	-	ruvAB
insC4D4CD4-ygeON		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insC4 // insD4 // insCD4 // ygeO // ygeN	2997235 // 2996372 // 2995962 // 2995314	2997600 // 2997277 // 2996360 // 2996020	-	insC4D4CD4-ygeON
ldrC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ldrC	1270238	1270345	-	ldrC
arpB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		arpB	1803094	1804993	+	arpB
mutM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mutM	3810343	3811152	-	mutM
ygfTS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygfT // ygfS	3029012 // 3028524	3030931 // 3029012	-	ygfTS
ydgK-rsxABCDGE-nth	ydgKp	1705207		nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA // ydgK	1711523 // 1710828 // 1710204 // 1709142 // 1706919 // 1706348 // 1705767 // 1705250	1712158 // 1711523 // 1710824 // 1710200 // 1709141 // 1706926 // 1706348 // 1705690	+	ydgK-rsxABCDGE-nth
rsfS-rlmH-mrdAB-rlpA	rsfSp	669072		rsfS // rlmH // mrdA // mrdB // rlpA	668719 // 668248 // 666316 // 665201 // 664102	669036 // 668715 // 668217 // 666313 // 665190	-	rsfS-rlmH-mrdAB-rlpA
yjiK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjiK	4562743	4563603	-	yjiK
tktA	tktAp	3081707		tktA	3079644	3081635	-	tktA
tsaB-yeaY	tsaBp			tsaB // yeaY	1890572 // 1889951	1891267 // 1890532	-	tsaB-yeaY // yeaZY
napFDAGHBC	napFp3	2303695		napC // napB // napH // napG // napA // napD // napF	2297657 // 2298269 // 2298715 // 2299565 // 2300267 // 2302750 // 2303003	2298259 // 2298718 // 2299578 // 2300260 // 2302753 // 2303013 // 2303497	-	napFDAGHBC
ybfOC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybfC // ybfO	735650 // 734220	736219 // 735653	+	ybfOC
galETKM	galEp3	792177		galM // galK // galT // galE	787797 // 788831 // 789983 // 791039	788837 // 789979 // 791029 // 792055	-	galETKM
ytjA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ytjA	4612128	4612289	+	ytjA
yghW		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yghW	3146450	3146737	-	yghW
yebV		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yebV	1921780	1922016	+	yebV
rhlE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rhlE	830872	832236	+	rhlE
ybhI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybhI	801887	803320	+	ybhI
bglGFB	bglGp1	3906697		bglB // bglF // bglG	3902289 // 3903720 // 3905731	3903701 // 3905597 // 3906567	-	bglGFB
ypfM	ypfMp	2590970		ypfM	2590807	2590866	-	ypfM
sroG-ribB	ribBp	3184718		sroG // ribB	3184570 // 3183813	3184718 // 3184466	-	sroG-ribB
srmB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		srmB	2712896	2714230	+	srmB
iaaA-gsiABCD	iaaAp	866537		gsiD // gsiC // gsiB // gsiA // iaaA	871890 // 870967 // 869411 // 867520 // 866568	872801 // 871887 // 870949 // 869391 // 867533	+	iaaA-gsiABCD
ygjQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygjQ	3236540	3237232	+	ygjQ
yaaI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yaaI	11382	11786	-	yaaI
usg-truA-dedA	usgp	2436890		dedA // truA // usg	2434082 // 2434824 // 2435636	2434741 // 2435636 // 2436649	-	usg-truA-dedA
yraIJK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yraK // yraJ // yraI	3291341 // 3288814 // 3288090	3292432 // 3291330 // 3288785	+	yraIJK
yeeRST-cbeA-cbtA-yeeW		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeeW // cbtA // cbeA // yeeT // yeeS // yeeR	2077940 // 2077569 // 2077112 // 2076817 // 2076308 // 2074779	2078134 // 2077943 // 2077480 // 2077038 // 2076754 // 2076311	+	yeeRST-cbeA-cbtA-yeeW
yaiZ	yaiZp	399454		yaiZ	399593	399805	+	yaiZ
zapC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		zapC	1005952	1006494	+	zapC
rpmBG-mutM	rpmBp	3811995		mutM // rpmG // rpmB	3810343 // 3811250 // 3811438	3811152 // 3811417 // 3811674	-	rpmBG-mutM
yadN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yadN	156299	156883	-	yadN
glnB	glnBp3	2687526		glnB	2687070	2687408	-	glnB
elbB-mtgA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		elbB // mtgA	3349806 // 3349081	3350459 // 3349809	-	elbB-mtgA
tsaD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tsaD	3209530	3210543	-	tsaD // ygjD
torS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		torS	1053434	1056178	-	torS
menBCE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		menE // menC // menB	2373648 // 2375000 // 2375962	2375003 // 2375962 // 2376819	-	menBCE
hsdRMS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		hsdS // hsdM // hsdR	4580068 // 4581459 // 4583249	4581462 // 4583048 // 4586761	-	hsdRMS
yhdU		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhdU	3412621	3412800	+	yhdU
yhjB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhjB	3671292	3671894	-	yhjB
yhfXW-php-yhfUTS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhfX // yhfW // php // yhfU // yhfT // yhfS	3509813 // 3508587 // 3507712 // 3507348 // 3506032 // 3504935	3510976 // 3509813 // 3508590 // 3507701 // 3507336 // 3506020	-	yhfXW-php-yhfUTS
yohC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yohC	2225044	2225631	-	yohC
yigE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yigE	4000292	4001056	-	yigE
rluE-nudJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rluE // nudJ	1194298 // 1193827	1194951 // 1194288	-	rluE-nudJ
alaS	alaSp	2822090		alaS	2819381	2822011	-	alaS
emrKY	emrKp	2483448		emrY // emrK	2480638 // 2482176	2482176 // 2483339	-	emrKY
rsmD-yhhL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhhL // rsmD	3604979 // 3604393	3605248 // 3604989	+	rsmD-yhhL
yeiR-lpxT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lpxT // yeiR	2268854 // 2267829	2269567 // 2268815	+	yeiR-lpxT
yjhD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjhD	4506626	4506856	-	yjhD
ymgA-ariR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ariR // ymgA	1216369 // 1216068	1216635 // 1216340	+	ymgA-ariR
